Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,City,Age,Category,Product Name,Unit Price,Quantity,Gross Sales,Discount (%),Sales,Cost,Profit,Profit Margin (%),Payment Method,Customer Rating,Returned,Month,Month Name,Quarter,Weekday,Age Group
ORD-010000,2025-01-01,2025-01-07,Standard Class,C-2131,Priya Garcia,Corporate,West,San Francisco,54,Books & Media,Thinking Fast Slow,72.06,1,72.06,15.0,61.25,31.71,29.54,48.23,Apple Pay,4.3,0,1,January,1,Wednesday,46-55
ORD-010001,2025-01-01,2025-01-07,Standard Class,C-2096,Robert Singh,Consumer,South,Atlanta,50,Clothing,Under Armour T-Shirt,98.75,1,98.75,0.0,98.75,60.58,38.17,38.65,Credit Card,4.0,0,1,January,1,Wednesday,46-55
ORD-010002,2025-01-01,2025-01-03,First Class,C-1708,Aisha Lee,Consumer,East,Philadelphia,36,Beauty & Health,Dove Body Wash,310.6,1,310.6,10.0,279.54,185.85,93.69,33.52,Debit Card,4.4,0,1,January,1,Wednesday,36-45
ORD-010003,2025-01-01,2025-01-07,Standard Class,C-1574,Sofia Chen,Corporate,West,Los Angeles,27,Clothing,Nike Air Force 1,186.01,1,186.01,0.0,186.01,109.45,76.56,41.16,PayPal,3.8,0,1,January,1,Wednesday,26-35
ORD-010004,2025-01-01,2025-01-07,Standard Class,C-1795,David Jones,Home Office,West,Seattle,40,Clothing,Levi's 501 Jeans,157.23,2,314.46,0.0,314.46,195.7,118.76,37.77,Apple Pay,3.4,0,1,January,1,Wednesday,36-45
ORD-010005,2025-01-01,2025-01-05,Second Class,C-1415,Patricia Kim,Corporate,South,Atlanta,43,Beauty & Health,Garnier SPF 50,432.8,3,1298.4,10.0,1168.56,729.57,438.99,37.57,Google Pay,4.1,0,1,January,1,Wednesday,36-45
ORD-010006,2025-01-01,2025-01-03,First Class,C-2180,James Miller,Corporate,West,San Francisco,47,Beauty & Health,Biotin Supplements,255.62,1,255.62,0.0,255.62,123.89,131.73,51.53,Debit Card,3.9,0,1,January,1,Wednesday,46-55
ORD-010007,2025-01-01,2025-01-05,Second Class,C-1722,Michael Johnson,Home Office,South,Nashville,36,Beauty & Health,Garnier SPF 50,422.64,1,422.64,0.0,422.64,225.05,197.59,46.75,PayPal,2.9,0,1,January,1,Wednesday,36-45
ORD-010008,2025-01-01,2025-01-07,Standard Class,C-1951,John Kim,Consumer,West,Seattle,29,Clothing,Gap Hoodie,47.85,3,143.55,0.0,143.55,84.09,59.46,41.42,Debit Card,4.5,0,1,January,1,Wednesday,26-35
ORD-010009,2025-01-01,2025-01-01,Same Day,C-1445,Omar Reddy,Corporate,Central,Houston,43,Electronics,Apple Watch Series 9,379.59,1,379.59,10.0,341.63,262.15,79.48,23.26,Debit Card,3.6,0,1,January,1,Wednesday,36-45
